"id","regtime(in unixtime)","country","device","app_language","user_language"
"474b275cdf5cb6f50f8a1a80b372f1d1","1472418479","AT","alps LG-X210","de","de_DE"
"45321295544575180","1470670984","US","HTC HTC Desire 626s","en","en_US"
"4794730250863828","1471659205","BR","samsung SM-G530H","de","pt_BR"
"55654924733043776","1470180387","US","LGE LGMS428","en","en_US"
"60556802307306540","1470139753","GB","samsung SM-J500FN","en","en_GB"
"500574d172ec11ffe9e28cce5c6344c2","1472638497","US","LGE LGLS990","en","en_US"
"61412391982802106","1471015006","US","samsung SAMSUNG-SGH-I337","en","en_US"
"61014037723436260","1470783847","US","samsung SM-G900V","en","en_US"
"65c1f1926547af065b428d35207904c5","1472140923","PL","LENOVO Tab2A7-10F","en","pl_PL"
"56424280619848869","1470387150","FR","samsung SM-G531F","fr","fr_FR"
"65741581731411056","1471015753","AT","samsung SM-G800F","de","de_AT"
"67765825278956647","1470946609","PL","samsung SM-T535","de","de_DE"
"9613e2f9c517678e1afa1dd9c76f05f3","1472327162","US","LGE LGLS990","en","en_US"
"9c591df89313ea87ebe998052202543a","1472607717","US","LGE LG-V521","en","en_US"
"9d6a1a34cb1483578c529e84ae9a6d42","1472359623","RO","Xiaomi Redmi 3","en","en_US"
"72018462183212116","1471444119","US","LGE LG-V410","en","en_US"
"899414494495755","1471361711","US","kyocera C6530N","en","en_US"
"ed7f9307472617ef6cc4d8d64b7f8b1d","1472437080","FR","Thomson EVERY 40","fr","fr_FR"
"f4c48dec60627542f2c71c2c72a6ee7b","1471780505","SE","LENOVO Lenovo A3500-FL","en","sv_SE"
"b4b31856b2c4676e9fbf7b691838041a","1472040783","GB","samsung GT-I8190N","en","en_GB"
"8a2693b0308f8ed24098d437c8f2b5d8","1472137203","TR","samsung SM-T210","en","en_GB"
"7dc5bec2b0cbd57659dc3b3a25638be4","1471797188","US","kyocera C6740N","en","en_US"
"a2a624974a8293d66f7ea1a94aedd9de","1472064664","TR","samsung SM-T113","en","en_GB"
"bf8c7dbbdeafcd8b2b6274b270a36ce5","1472421719","US","samsung SAMSUNG-SM-J320A","en","en_US"
"a2791d0d2d9e01009382068893cdc76e","1472494499","FR","WIKO LENNY2","fr","fr_FR"
"0072510669a536e80daa8abdf66783be","1472472180","AT","Sony F3111","de","de_AT"
"00862bfda75bf21d7d0d926212f05d73","1472384700","ES","bq Aquaris E4.5","en","es_ES"
"00bba1094296d57a2131d314c645f423","1472170382","BR","motorola MotoE2(4G-LTE)","en","pt_BR"
"01d4e44989f15292d8289dd3c7ccc66c","1472407499","BR","samsung GT-I8190L","en","pt_BR"
"02e2820462ad1faa7f1e917d87143eb3","1472338201","BR","motorola XT1033","en","pt_BR"
"06a3a83c5bb58bfff87f875f43b4d126","1472170982","GB","LGE LG-H525n","en","en_GB"
"075e59fa79108394bb48e562a32d2966","1472326201","BR","samsung SM-G530H","en","pt_BR"
"07e79214e30874c32b7cf131acede74b","1472404559","IT","archos Qilive 50","en","it_IT"
"0950af7248af541021db8060e1a41324","1472239203","GB","Vodafone VF-1397","en","en_GB"
"09621ed577b5b4880654280fbb8c4021","1472685477","US","LGE VS986","en","en_US"
"0c656289102925c9eeabe310bf9e2f9a","1472171762","US","kyocera KYOCERA-C6742","en","en_US"
"09a1d8c3b059098608657fe81a717d15","1472253842","IT","samsung SM-A300FU","en","en_US"
"0ccf8fb2be8d8b07676bb535efaa69db","1472483641","DE","rockchip PO10044TAQ-70242MK2","de","de_DE"
"0d8523a15dd8cbaf29b71186f97b058e","1472479439","IT","samsung SM-J320FN","en","it_IT"
"0f9345311274904c6c1979aec3af75d4","1472364961","US","samsung SAMSUNG-SM-N910A","en","en_US"
"03bacb25ea96dc4b50fd1e2ba82b9e24","1472472058","FR","samsung SM-G920F","fr","fr_FR"
"0308bca7b648d49ff65c296906ad2640","1472172542","US","samsung SAMSUNG-SM-G920AZ","en","en_US"
"04f74d3358fa5aedc7c8abf08511db74","1472313060","DE","samsung SM-T580","de","de_DE"
"04376aea3108ecbf5f8c5314df6b7b26","1472413501","GB","samsung SM-T230","en","en_GB"
"049c07f9577219caa6fb822b115cf33b","1472190541","FR","alps T800","fr","fr_FR"
"04ce3175cb315583096afb6022e4972c","1472569137","ES","samsung SM-G920F","en","es_ES"
"03bc6041de5e373aa2d282bae2e5a101","1472502718","BR","motorola XT1069","en","pt_BR"
"0424d93fc6a5d1f4c8fa0340a270b7d4","1472687577","US","ZTE K88","en","en_US"
"049cb32264da9f40ffa50622c39cd6aa","1472594587","US","samsung SM-T550","en","en_US"
"045775e41bda73dc32194c0f50e19ebe","1472402340","BR","motorola XT1097","en","pt_BR"
"054f74b3e788d19b4d54a7e307c420a8","1472249342","BR","LENOVO Lenovo A6020l36","ru","pt_BR"
"05bac52bf8ed6a33447775766f9c3a39","1472561099","BR","samsung SM-G531BT","en","pt_BR"
"05300b3e9635f2c6a3364aa9844bc4c1","1472523539","US","Quanta QTAQZ3","en","en_US"
"077b8a301707399c475881f7fdec99e3","1472377799","US","samsung SM-N920V","en","en_US"
"0789fb58f33e6ee98f7a6d3561b1beb0","1472579037","US","samsung SM-N910T3","en","en_US"
"052b6a3accc2f0de4cd0d73d7f20a119","1472582486","GB","samsung SM-G900F","en","en_GB"
"08af61d52a15160391b03a131a33dcb8","1472344501","US","samsung SCH-I545","en","en_US"
"1b58f7d133f306c7c26ef941f7c7ac15","1472237583","TR","samsung SM-J700F","en","tr_TR"
"32612be2f08785eda22b119f9ab820b4","1472591640","FR","samsung SM-N9005","fr","fr_FR"
"4c2b76af2799d5ad673bc1f0913eec0e","1472215803","FR","Archos Archos 50e Neon","fr","fr_FR"
"5f9acc5ea00d85d25a34519219407f36","1472514117","US","Alco RCT6773W22B","en","en_US"
"c75b7a7b5215c8b724bfd58637652743","1472277364","US","Alco RCT6303W87DK","en","en_US"
"f03864ea361c485fe5aed0cebf3554ea","1472644798","DE","samsung SM-A300FU","de","de_DE"
"10032518888346791","1471208145","FR","Sony LT30p","fr","fr_FR"
"1100856406258762","1470333903","GB","Vodafone VFD 600","en","en_GB"
"1052879295276264","1470781291","US","samsung SAMSUNG-SGH-I747","en","en_US"
"13062625677636721","1470097546","DE","samsung SM-T530","de","de_DE"
